Code_departement: 1, Population_sum: 636916
Code_departement: 10, Population_sum: 314825
Code_departement: 11, Population_sum: 374868
Code_departement: 12, Population_sum: 289257
Code_departement: 13, Population_sum: 2022604
Code_departement: 14, Population_sum: 706635
Code_departement: 15, Population_sum: 152797
Code_departement: 16, Population_sum: 366587
Code_departement: 17, Population_sum: 652610
Code_departement: 18, Population_sum: 319693
Code_departement: 19, Population_sum: 249452
Code_departement: 2, Population_sum: 554512
Code_departement: 21, Population_sum: 543648
Code_departement: 22, Population_sum: 617565
Code_departement: 23, Population_sum: 125714
Code_departement: 24, Population_sum: 429579
Code_departement: 25, Population_sum: 548026
Code_departement: 26, Population_sum: 509444
Code_departement: 27, Population_sum: 612518
Code_departement: 28, Population_sum: 444385
Code_departement: 29, Population_sum: 934625
Code_departement: 2A, Population_sum: 151621
Code_departement: 2B, Population_sum: 173889
Code_departement: 3, Population_sum: 353742
Code_departement: 30, Population_sum: 750025
Code_departement: 31, Population_sum: 1325392
Code_departement: 32, Population_sum: 197598
Code_departement: 33, Population_sum: 1536448
Code_departement: 34, Population_sum: 1111881
Code_departement: 35, Population_sum: 1047873
Code_departement: 36, Population_sum: 235181
Code_departement: 37, Population_sum: 615557
Code_departement: 38, Population_sum: 1263850
Code_departement: 39, Population_sum: 270914
Code_departement: 4, Population_sum: 166726
Code_departement: 40, Population_sum: 411197
Code_departement: 41, Population_sum: 342471
Code_departement: 42, Population_sum: 774144
Code_departement: 43, Population_sum: 233918
Code_departement: 44, Population_sum: 1364453
Code_departement: 45, Population_sum: 684104
Code_departement: 46, Population_sum: 180470
Code_departement: 47, Population_sum: 343645
Code_departement: 48, Population_sum: 80712
Code_departement: 49, Population_sum: 823546
Code_departement: 5, Population_sum: 144640
Code_departement: 50, Population_sum: 518364
Code_departement: 51, Population_sum: 583691
Code_departement: 52, Population_sum: 188083
Code_departement: 53, Population_sum: 318095
Code_departement: 54, Population_sum: 745398
Code_departement: 55, Population_sum: 198334
Code_departement: 56, Population_sum: 761433
Code_departement: 57, Population_sum: 1068119
Code_departement: 58, Population_sum: 222688
Code_departement: 59, Population_sum: 2635494
Code_departement: 6, Population_sum: 1096741
Code_departement: 60, Population_sum: 835918
Code_departement: 61, Population_sum: 298248
Code_departement: 62, Population_sum: 1491735
Code_departement: 63, Population_sum: 658489
Code_departement: 64, Population_sum: 685564
Code_departement: 65, Population_sum: 236728
Code_departement: 66, Population_sum: 471573
Code_departement: 67, Population_sum: 1128825
Code_departement: 68, Population_sum: 774976
Code_departement: 69, Population_sum: 1812196
Code_departement: 7, Population_sum: 330017
Code_departement: 70, Population_sum: 246782
Code_departement: 71, Population_sum: 575097
Code_departement: 72, Population_sum: 584865
Code_departement: 73, Population_sum: 437915
Code_departement: 74, Population_sum: 793342
Code_departement: 75, Population_sum: 2254262
Code_departement: 76, Population_sum: 1280410
Code_departement: 77, Population_sum: 1387830
Code_departement: 78, Population_sum: 1446301
Code_departement: 79, Population_sum: 383079
Code_departement: 8, Population_sum: 289075
Code_departement: 80, Population_sum: 584184
Code_departement: 81, Population_sum: 393877
Code_departement: 82, Population_sum: 256867
Code_departement: 83, Population_sum: 1046346
Code_departement: 84, Population_sum: 562254
Code_departement: 85, Population_sum: 674843
Code_departement: 86, Population_sum: 442696
Code_departement: 87, Population_sum: 384411
Code_departement: 88, Population_sum: 388551
Code_departement: 89, Population_sum: 352182
Code_departement: 9, Population_sum: 158379
Code_departement: 90, Population_sum: 147777
Code_departement: 91, Population_sum: 1273233
Code_departement: 92, Population_sum: 1611290
Code_departement: 93, Population_sum: 1565222
Code_departement: 94, Population_sum: 1367091
Code_departement: 95, Population_sum: 1211138
Code_departement: 971, Population_sum: 409055
Code_departement: 972, Population_sum: 391837
Code_departement: 973, Population_sum: 246507
Code_departement: 974, Population_sum: 844741
Code_departement: Code département, Population_sum: 0.0
