Code_region: 1, Population_sum: 409055
Code_region: 2, Population_sum: 391837
Code_region: 3, Population_sum: 246507
Code_region: 4, Population_sum: 844741
Code_region: 11, Population_sum: 12116367
Code_region: 24, Population_sum: 2641391
Code_region: 27, Population_sum: 2907114
Code_region: 28, Population_sum: 3416175
Code_region: 32, Population_sum: 6101843
Code_region: 44, Population_sum: 5679877
Code_region: 52, Population_sum: 3765802
Code_region: 53, Population_sum: 3361496
Code_region: 75, Population_sum: 6010982
Code_region: 76, Population_sum: 5827627
Code_region: 84, Population_sum: 7956770
Code_region: 93, Population_sum: 5039311
Code_region: 94, Population_sum: 325510
