Code_region: 1, Population_sum: 409055
Code_region: 11, Population_sum: 12116367
Code_region: 2, Population_sum: 391837
Code_region: 21, Population_sum: 1375674
Code_region: 22, Population_sum: 1974614
Code_region: 23, Population_sum: 1892928
Code_region: 24, Population_sum: 2641391
Code_region: 25, Population_sum: 1523247
Code_region: 26, Population_sum: 1693615
Code_region: 3, Population_sum: 246507
Code_region: 31, Population_sum: 4127229
Code_region: 4, Population_sum: 844741
Code_region: 41, Population_sum: 2400402
Code_region: 42, Population_sum: 1903801
Code_region: 43, Population_sum: 1213499
Code_region: 52, Population_sum: 3765802
Code_region: 53, Population_sum: 3361496
Code_region: 54, Population_sum: 1844972
Code_region: 72, Population_sum: 3406433
Code_region: 73, Population_sum: 3038568
Code_region: 74, Population_sum: 759577
Code_region: 82, Population_sum: 6557824
Code_region: 83, Population_sum: 1398946
Code_region: 91, Population_sum: 2789059
Code_region: 93, Population_sum: 5039311
Code_region: 94, Population_sum: 325510
